home_team_ru;home_slug;away_team_ru;away_slug;distance_km
Амур;amur;ЦСКА;cska;6141.3
Амур;amur;Драконы;kunlun;6196.6
Барыс;barys;Авангард;avangard;453.3
Барыс;barys;Автомобилист;avtomobilist;951.5
Барыс;barys;Адмирал;admiral;4528.2
Барыс;barys;Ак Барс;ak_bars;1558.6
Барыс;barys;Амур;amur;4436.5
Барыс;barys;Динамо М;dynamo_msk;2276.8
Барыс;barys;Динамо Мн;dinamo_mn;2939.9
Барыс;barys;Лада;lada;1514.7
Барыс;barys;Локомотив;lokomotiv;2143.6
Барыс;barys;Металлург Мг;metallurg_mg;880.7
Барыс;barys;Нефтехимик;neftekhimik;1388.8
Барыс;barys;Северсталь;severstal;2278.3
Барыс;barys;Сибирь;sibir;885.6
Барыс;barys;СКА;ska;2707.7
Барыс;barys;ХК Сочи;hc_sochi;2499.9
Барыс;barys;Спартак;spartak;2283.9
Барыс;barys;Салават Юлаев;salavat_yulaev;1109.0
Барыс;barys;Торпедо;torpedo;1879.9
Барыс;barys;Трактор;traktor;802.1
Барыс;barys;ЦСКА;cska;2271.1
Барыс;barys;Драконы;kunlun;2707.7
Динамо М;dynamo_msk;Авангард;avangard;2237.9
Динамо М;dynamo_msk;Автомобилист;avtomobilist;1417.4
Динамо М;dynamo_msk;Адмирал;admiral;6411.0
Динамо М;dynamo_msk;Ак Барс;ak_bars;720.8
Динамо М;dynamo_msk;Амур;amur;6140.4
Динамо М;dynamo_msk;Барыс;barys;2276.8
Динамо М;dynamo_msk;Динамо Мн;dinamo_mn;676.0
Динамо М;dynamo_msk;Лада;lada;798.9
Динамо М;dynamo_msk;Локомотив;lokomotiv;250.4
Динамо М;dynamo_msk;Металлург Мг;metallurg_mg;1400.5
Динамо М;dynamo_msk;Нефтехимик;neftekhimik;891.2
Динамо М;dynamo_msk;Северсталь;severstal;371.8
Динамо М;dynamo_msk;Сибирь;sibir;2813.8
Динамо М;dynamo_msk;СКА;ska;617.5
Динамо М;dynamo_msk;ХК Сочи;hc_sochi;1388.0
Динамо М;dynamo_msk;Спартак;spartak;7.8
Динамо М;dynamo_msk;Салават Юлаев;salavat_yulaev;1168.0
Динамо М;dynamo_msk;Торпедо;torpedo;404.3
Динамо М;dynamo_msk;Трактор;traktor;1499.3
Динамо М;dynamo_msk;ЦСКА;cska;10.8
Динамо М;dynamo_msk;Драконы;kunlun;617.5
Динамо Мн;dinamo_mn;Авангард;avangard;2913.8
Динамо Мн;dinamo_mn;Автомобилист;avtomobilist;2093.3
Динамо Мн;dinamo_mn;Адмирал;admiral;7059.0
Динамо Мн;dinamo_mn;Ак Барс;ak_bars;1392.8
Динамо Мн;dinamo_mn;Амур;amur;6765.2
Динамо Мн;dinamo_mn;Барыс;barys;2939.9
Динамо Мн;dinamo_mn;Динамо М;dynamo_msk;676.0
Динамо Мн;dinamo_mn;Лада;lada;1434.5
Динамо Мн;dinamo_mn;Локомотив;lokomotiv;876.8
Динамо Мн;dinamo_mn;Металлург Мг;metallurg_mg;2059.6
Динамо Мн;dinamo_mn;Нефтехимик;neftekhimik;1562.5
Динамо Мн;dinamo_mn;Северсталь;severstal;860.8
Динамо Мн;dinamo_mn;Сибирь;sibir;3488.6
Динамо Мн;dinamo_mn;СКА;ska;681.6
Динамо Мн;dinamo_mn;ХК Сочи;hc_sochi;1481.1
Динамо Мн;dinamo_mn;Спартак;spartak;669.7
Динамо Мн;dinamo_mn;Салават Юлаев;salavat_yulaev;1834.9
Динамо Мн;dinamo_mn;Торпедо;torpedo;1080.0
Динамо Мн;dinamo_mn;Трактор;traktor;2172.3
Динамо Мн;dinamo_mn;ЦСКА;cska;679.6
Динамо Мн;dinamo_mn;Драконы;kunlun;681.6
Лада;lada;Авангард;avangard;1557.7
Лада;lada;Автомобилист;avtomobilist;797.1
Лада;lada;Адмирал;admiral;5852.9
Лада;lada;Ак Барс;ak_bars;253.1
Лада;lada;Амур;amur;5650.6
Лада;lada;Барыс;barys;1514.7
Лада;lada;Динамо М;dynamo_msk;798.9
Лада;lada;Динамо Мн;dinamo_mn;1434.5
Лада;lada;Локомотив;lokomotiv;748.6
Лада;lada;Металлург Мг;metallurg_mg;636.7
Лада;lada;Нефтехимик;neftekhimik;279.5
Лада;lada;Северсталь;severstal;937.4
Лада;lada;Сибирь;sibir;2162.7
Лада;lada;СКА;ska;1345.7
Лада;lada;ХК Сочи;hc_sochi;1322.9
Лада;lada;Спартак;spartak;806.5
Лада;lada;Салават Юлаев;salavat_yulaev;447.7
Лада;lada;Торпедо;torpedo;460.9
Лада;lada;Трактор;traktor;800.0
Лада;lada;ЦСКА;cska;791.1
Лада;lada;Драконы;kunlun;1345.7
Локомотив;lokomotiv;Авангард;avangard;2063.4
Локомотив;lokomotiv;Автомобилист;avtomobilist;1242.6
Локомотив;lokomotiv;Адмирал;admiral;6185.7
Локомотив;lokomotiv;Ак Барс;ak_bars;596.6
Локомотив;lokomotiv;Амур;amur;5904.7
Локомотив;lokomotiv;Барыс;barys;2143.6
Локомотив;lokomotiv;Динамо М;dynamo_msk;250.4
Локомотив;lokomotiv;Динамо Мн;dinamo_mn;876.8
Локомотив;lokomotiv;Лада;lada;748.6
Локомотив;lokomotiv;Металлург Мг;metallurg_mg;1285.7
Локомотив;lokomotiv;Нефтехимик;neftekhimik;760.6
Локомотив;lokomotiv;Северсталь;severstal;201.2
Локомотив;lokomotiv;Сибирь;sibir;2623.2
Локомотив;lokomotiv;СКА;ska;598.5
Локомотив;lokomotiv;ХК Сочи;hc_sochi;1583.3
Локомотив;lokomotiv;Спартак;spartak;252.0
Локомотив;lokomotiv;Салават Юлаев;salavat_yulaev;1042.0
Локомотив;lokomotiv;Торпедо;torpedo;289.1
Локомотив;lokomotiv;Трактор;traktor;1348.3
Локомотив;lokomotiv;ЦСКА;cska;254.9
Локомотив;lokomotiv;Драконы;kunlun;598.5
Металлург Мг;metallurg_mg;Авангард;avangard;947.8
Металлург Мг;metallurg_mg;Автомобилист;avtomobilist;391.6
Металлург Мг;metallurg_mg;Адмирал;admiral;5266.4
Металлург Мг;metallurg_mg;Ак Барс;ak_bars;690.3
Металлург Мг;metallurg_mg;Амур;amur;5099.7
Металлург Мг;metallurg_mg;Барыс;barys;880.7
Металлург Мг;metallurg_mg;Динамо М;dynamo_msk;1400.5
Металлург Мг;metallurg_mg;Динамо Мн;dinamo_mn;2059.6
Металлург Мг;metallurg_mg;Лада;lada;636.7
Металлург Мг;metallurg_mg;Локомотив;lokomotiv;1285.7
Металлург Мг;metallurg_mg;Нефтехимик;neftekhimik;525.5
Металлург Мг;metallurg_mg;Северсталь;severstal;1439.5
Металлург Мг;metallurg_mg;Сибирь;sibir;1557.5
Металлург Мг;metallurg_mg;СКА;ska;1870.2
Металлург Мг;metallurg_mg;ХК Сочи;hc_sochi;1785.0
Металлург Мг;metallurg_mg;Спартак;spartak;1407.7
Металлург Мг;metallurg_mg;Салават Юлаев;salavat_yulaev;246.9
Металлург Мг;metallurg_mg;Торпедо;torpedo;1010.3
Металлург Мг;metallurg_mg;Трактор;traktor;247.8
Металлург Мг;metallurg_mg;ЦСКА;cska;1394.4
Металлург Мг;metallurg_mg;Драконы;kunlun;1870.2
Нефтехимик;neftekhimik;Авангард;avangard;1360.6
