uid,home,away,start_msk,start_utc,text_url,source
897537,"ЦСКА","Спартак","2025-09-16T22:08:00+03:00","2025-09-16T19:08:00+00:00","https://text.khl.ru/text/897537.html","text"
897536,"Северсталь","Металлург Мг","2025-09-16T22:21:00+03:00","2025-09-16T19:21:00+00:00","https://text.khl.ru/text/897536.html","text"
897535,"Лада","Локомотив","2025-09-16T22:32:00+03:00","2025-09-16T19:32:00+00:00","https://text.khl.ru/text/897535.html","text"
897540,"Амур","Сибирь","2025-09-17T03:29:00+03:00","2025-09-17T00:29:00+00:00","https://text.khl.ru/text/897540.html","text"
897543,"Адмирал","Драконы","2025-09-17T12:30:00+03:00","2025-09-17T09:30:00+00:00","https://text.khl.ru/text/897543.html","text"
897542,"Авангард","Салават Юлаев","2025-09-17T16:38:00+03:00","2025-09-17T13:38:00+00:00","https://text.khl.ru/text/897542.html","text"
897539,"Автомобилист","Трактор","2025-09-17T17:00:00+03:00","2025-09-17T14:00:00+00:00","https://text.khl.ru/text/897539.html","text"
897541,"Ак Барс","Нефтехимик","2025-09-17T19:00:00+03:00","2025-09-17T16:00:00+00:00","https://text.khl.ru/text/897541.html","text"
897546,"Лада","Торпедо","2025-09-18T09:54:00+03:00","2025-09-18T06:54:00+00:00","https://text.khl.ru/text/897546.html","text"
897544,"ЦСКА","Локомотив","2025-09-18T12:57:00+03:00","2025-09-18T09:57:00+00:00","https://text.khl.ru/text/897544.html","text"
897545,"Металлург Мг","Барыс","2025-09-18T22:18:00+03:00","2025-09-18T19:18:00+00:00","https://text.khl.ru/text/897545.html","text"
897547,"Автомобилист","Спартак","2025-09-19T02:50:00+03:00","2025-09-18T23:50:00+00:00","https://text.khl.ru/text/897547.html","text"
897551,"Трактор","Нефтехимик","2025-09-19T07:31:00+03:00","2025-09-19T04:31:00+00:00","https://text.khl.ru/text/897551.html","text"
897635,"СКА","Динамо Мн","2025-09-19T10:58:00+03:00","2025-09-19T07:58:00+00:00","https://text.khl.ru/text/897635.html","text"
897550,"Амур","Сибирь","2025-09-19T12:15:00+03:00","2025-09-19T09:15:00+00:00","https://text.khl.ru/text/897550.html","text"
897552,"Ак Барс","Салават Юлаев","2025-09-19T19:00:00+03:00","2025-09-19T16:00:00+00:00","https://text.khl.ru/text/897552.html","text"
897554,"Северсталь","Барыс","2025-09-20T05:47:00+03:00","2025-09-20T02:47:00+00:00","https://text.khl.ru/text/897554.html","text"
897553,"Адмирал","Динамо М","2025-09-20T20:22:00+03:00","2025-09-20T17:22:00+00:00","https://text.khl.ru/text/897553.html","text"
897558,"Ак Барс","Авангард","2025-09-21T00:30:00+03:00","2025-09-20T21:30:00+00:00","https://text.khl.ru/text/897558.html","text"
897555,"Лада","СКА","2025-09-21T01:20:00+03:00","2025-09-20T22:20:00+00:00","https://text.khl.ru/text/897555.html","text"
897557,"Металлург Мг","ЦСКА","2025-09-21T08:31:00+03:00","2025-09-21T05:31:00+00:00","https://text.khl.ru/text/897557.html","text"
897556,"Трактор","Спартак","2025-09-21T20:55:00+03:00","2025-09-21T17:55:00+00:00","https://text.khl.ru/text/897556.html","text"
897559,"Автомобилист","Нефтехимик","2025-09-21T23:06:00+03:00","2025-09-21T20:06:00+00:00","https://text.khl.ru/text/897559.html","text"
897563,"Локомотив","ХК Сочи","2025-09-22T13:11:00+03:00","2025-09-22T10:11:00+00:00","https://text.khl.ru/text/897563.html","text"
